Saved Date,Job Url,Job Title,Company Name
"4/12/26, 5:16 PM",http://www.linkedin.com/jobs/view/4376225253,"Product Manager II, Match",Spring Health
"6/24/23, 10:32 AM",http://www.linkedin.com/jobs/view/3578387111,Senior Product Operations & Strategy Manager,BetterUp
"4/8/26, 5:20 PM",http://www.linkedin.com/jobs/view/4366861079,Senior Product Manager,Microsoft
"11/7/23, 7:46 AM",http://www.linkedin.com/jobs/view/3747497017,"Senior Manager, Marketing Analytics",Palo Alto Networks
"11/22/23, 6:41 PM",http://www.linkedin.com/jobs/view/3771764822,,
"11/7/23, 7:43 AM",http://www.linkedin.com/jobs/view/3748335721,"Associate Manager, Consumer Promotions Strategy",DoorDash
"4/9/26, 8:04 AM",http://www.linkedin.com/jobs/view/4389412351,Senior Product Manager - Conversion,Redfin
"4/8/26, 11:26 AM",http://www.linkedin.com/jobs/view/4377519357,Senior Product Manager,Shipt
"6/24/23, 10:31 AM",http://www.linkedin.com/jobs/view/3640358935,Data Analytics Manager,IBM
"1/2/24, 10:51 AM",http://www.linkedin.com/jobs/view/3780439759,Business Intelligence Manager - Loyalty Finance,Expedia Group
"4/20/26, 6:25 PM",http://www.linkedin.com/jobs/view/4380175330,"Product Manager, Intake and Collaboration",Zip
"6/24/23, 10:45 AM",http://www.linkedin.com/jobs/view/3635175000,Revenue Growth Lead II,Coca-Cola Consolidated
"4/20/26, 6:20 PM",http://www.linkedin.com/jobs/view/4403594724,"Senior Product Manager, Consumer Engagement",Uber
"11/7/23, 7:45 AM",http://www.linkedin.com/jobs/view/3696173346,"Manager, Data Science & Analytics – Customer Analytics – Marketing Optimization Analytics - Hybrid - Seattle or Los Angeles",Nordstrom
"11/7/23, 7:40 AM",http://www.linkedin.com/jobs/view/3750204578,"Manager, Assortment Analytics",Walmart
"3/31/26, 2:41 PM",http://www.linkedin.com/jobs/view/4391711952,E-Commerce Senior Product Manager,Verizon
"4/23/26, 1:36 PM",http://www.linkedin.com/jobs/view/4404903689,Sr. Business Planner,Microsoft
"11/16/23, 9:10 PM",http://www.linkedin.com/jobs/view/3715415904,Senior Product Manager - Customer Apps,Zipline
"4/12/26, 5:19 PM",http://www.linkedin.com/jobs/view/4379268918,Product MKTG III - AMZ15111.5,Amazon
"9/7/23, 3:40 PM",http://www.linkedin.com/jobs/view/3695703348,TikTok Shop - Senior Search Product Manager (Consumer Direction) - Seattle,TikTok
"5/1/24, 9:40 AM",http://www.linkedin.com/jobs/view/3914899909,"Manager, Business Operations eCommerce",Walmart
"1/4/24, 11:52 AM",http://www.linkedin.com/jobs/view/3797829763,"Manager, Operations - Strategy & Operations",Walmart
"12/29/23, 5:04 PM",http://www.linkedin.com/jobs/view/3781955812,"Sr. Product Manager, Growth (Seattle)",Route
"11/17/23, 12:25 AM",http://www.linkedin.com/jobs/view/3702817297,Senior Marketing Automation Analyst,Peloton Interactive
"11/11/23, 8:39 AM",http://www.linkedin.com/jobs/view/3763233556,"Data Scientist, Product Analytics",Meta
"3/31/26, 4:54 PM",http://www.linkedin.com/jobs/view/4395060994,"Sr Manager, Product Management",Tapestry
"4/12/26, 5:21 PM",http://www.linkedin.com/jobs/view/4388739140,"Senior Product Manager, Strategic Partnerships",Amazon
"4/20/26, 6:55 PM",http://www.linkedin.com/jobs/view/4382138001,"Senior Manager, Web Experience",Justworks
"11/7/23, 7:59 AM",http://www.linkedin.com/jobs/view/3557947633,Principal Product Analyst,Zocdoc
"4/1/26, 8:36 PM",http://www.linkedin.com/jobs/view/4395146464,"Senior Product Manager, Marketplace Growth",Jerry
"6/24/23, 10:32 AM",http://www.linkedin.com/jobs/view/3574573694,"Senior Program Manager, Pricing & Inventory",ClassPass
"11/28/23, 4:41 PM",http://www.linkedin.com/jobs/view/3768749715,Senior eCommerce Merchandising Manager,MANSCAPED
"4/13/26, 6:42 PM",http://www.linkedin.com/jobs/view/4399583170,"Sr Manager, Product Growth",PayPal
"6/24/23, 10:33 AM",http://www.linkedin.com/jobs/view/3644860031,Operations & Logistics Manager,Uber
"11/7/23, 7:40 AM",http://www.linkedin.com/jobs/view/3689587145,,
"10/29/23, 3:06 AM",http://www.linkedin.com/jobs/view/3590159761,"Senior Product Manager, Analytics",DoubleVerify
"11/28/23, 4:31 PM",http://www.linkedin.com/jobs/view/3712711980,"Scientist/Senior Scientist, Formulation Development","Seawolf Therapeutics, Inc."
"11/7/23, 5:29 PM",http://www.linkedin.com/jobs/view/3702877158,"TikTok Shop - Business Operations Manager, ISV Commerce Partnerships - Partner Product",TikTok
"11/12/23, 8:40 AM",http://www.linkedin.com/jobs/view/3759634671,,
"11/11/23, 8:39 AM",http://www.linkedin.com/jobs/view/3763231750,"Data Scientist, Product Analytics",Meta
"11/18/23, 4:32 PM",http://www.linkedin.com/jobs/view/3729320663,Lead Knowledge Analyst - eCommerce Conversion Rate Optimization,Boston Consulting Group (BCG)
"6/24/23, 10:54 AM",http://www.linkedin.com/jobs/view/3627071537,Growth Strategy Expert for Tech Scale-up Companies (Senior Director/Analyst) Remote Opportunity/United States,Gartner
"11/14/23, 1:04 PM",http://www.linkedin.com/jobs/view/3707537720,Business Analytics Manager,Hinge Health
"11/28/23, 4:33 PM",http://www.linkedin.com/jobs/view/3751624523,"Product Manager, Strayer Digital Web Experiences",Strayer University
"11/7/23, 8:03 AM",http://www.linkedin.com/jobs/view/3743352617,Senior Product Manager - AI Assistant & Personalization,Uber
"11/7/23, 8:02 AM",http://www.linkedin.com/jobs/view/3741710311,Senior Consultant (Web Analytics),Fractal
"11/11/23, 8:39 AM",http://www.linkedin.com/jobs/view/3763231746,"Data Scientist, Product Analytics",Meta
"11/15/23, 9:26 PM",http://www.linkedin.com/jobs/view/3721989130,Senior/Staff Growth Product Manager,Semgrep
"9/7/23, 3:40 PM",http://www.linkedin.com/jobs/view/3618881778,"TikTok Shop - Product Manager, Recommendation",TikTok
"6/24/23, 10:34 AM",http://www.linkedin.com/jobs/view/3635173074,Senior Manager Data Analytics - Home Health,Compass Healthcare Consulting and Placement
"11/12/23, 8:47 AM",http://www.linkedin.com/jobs/view/3757057773,Senior Product Manager - Marketplace Systems,Shipt
"11/7/23, 3:19 PM",http://www.linkedin.com/jobs/view/3751640286,"Senior Product Manager, Base Ecosystem",Coinbase
"11/14/23, 1:08 PM",http://www.linkedin.com/jobs/view/3706394853,"Growth Marketing Manager, Conversion Rate Optimization",Hinge Health
"11/18/23, 4:32 PM",http://www.linkedin.com/jobs/view/3751942312,Digital Marketing Manager (Paid + eComm),24 Seven Talent
"5/6/24, 1:26 PM",http://www.linkedin.com/jobs/view/3916223383,Sr. Product Manager,Otto
"11/7/23, 7:41 AM",http://www.linkedin.com/jobs/view/3741899462,"Manager, Data Analytics",KPMG US
"6/24/23, 10:58 AM",http://www.linkedin.com/jobs/view/3595588009,"Senior Manager, Sales Analytics",Zillow
"3/12/26, 1:21 PM",http://www.linkedin.com/jobs/view/4381980298,Lead Horizontal Vibrancy,Marktplaats
"11/14/23, 8:55 AM",http://www.linkedin.com/jobs/view/3742241073,Senior Business Strategy Manager,Microsoft
"3/31/26, 2:33 PM",http://www.linkedin.com/jobs/view/4390786763,Senior Product Mgr - Community,Twitch
"11/12/23, 8:34 AM",http://www.linkedin.com/jobs/view/3741415638,"Performance Marketing Manager, Delivery Strategy",Uber
"1/4/24, 11:52 AM",http://www.linkedin.com/jobs/view/3798545238,Senior Product Manager,Walmart
"4/20/26, 6:27 PM",http://www.linkedin.com/jobs/view/4371170956,Product Manager II,Affirm
"11/7/23, 7:46 AM",http://www.linkedin.com/jobs/view/3757448727,Analytics Manager - Partner Success Team,Klarna
"11/1/23, 8:20 PM",http://www.linkedin.com/jobs/view/3728815769,"Manager, Tech Data Analytics",ESPN
"4/10/26, 6:11 AM",http://www.linkedin.com/jobs/view/4387485894,Product Manager | Generalist (All Levels),Ramp
"2/23/26, 7:55 PM",http://www.linkedin.com/jobs/view/4375799079,"Senior Manager - Site Experience, CRO & Testing",TravisMathew
"11/29/23, 11:22 AM",http://www.linkedin.com/jobs/view/3774986309,"Marketing Technology Manager, Continuous Improvement",Uber
"3/12/26, 10:57 AM",http://www.linkedin.com/jobs/view/4383861868,Growth PM | Housing,EliseAI
"6/24/23, 10:53 AM",http://www.linkedin.com/jobs/view/3644465368,Retail Product Manager,Samsung Electronics America
"11/7/23, 1:17 AM",http://www.linkedin.com/jobs/view/3749782693,"Manager, Media Strategy & Planning",Salesforce
"3/31/26, 1:47 PM",http://www.linkedin.com/jobs/view/4388160388,Senior Product Manager,Toast
"11/11/23, 8:39 AM",http://www.linkedin.com/jobs/view/3740460254,"Lead Advanced Analytics, Marketing",Airbnb
"3/12/26, 10:34 AM",http://www.linkedin.com/jobs/view/4370880879,Senior Product Manager - Uber Eats Consumer Experience,Uber
"4/7/26, 5:23 PM",http://www.linkedin.com/jobs/view/4389276889,Senior Product Manager,Noom
"10/29/23, 3:04 AM",http://www.linkedin.com/jobs/view/3742388799,Product Evangelist & Strategist,Amplitude
"11/12/23, 8:42 AM",http://www.linkedin.com/jobs/view/3760615639,Conversion Rate Optimization Manager,Blue Apron
"3/31/26, 10:46 AM",http://www.linkedin.com/jobs/view/4347715789,Sr Product Manager - Loyalty,Fanatics
"11/7/23, 7:39 AM",http://www.linkedin.com/jobs/view/3760096848,Manager/ Sr. Manager - Analytics Consulting - Retail / CPG,Tiger Analytics
"11/7/23, 8:03 AM",http://www.linkedin.com/jobs/view/3741650256,"Product Management Lead, Identity Graph and Data Matching",Cardlytics
"3/31/26, 8:38 PM",http://www.linkedin.com/jobs/view/4372108304,"Senior Product Manager, Growth",Attentive
"11/7/23, 8:03 AM",http://www.linkedin.com/jobs/view/3759885157,Analytics Manager,Cardlytics
"10/29/23, 3:04 AM",http://www.linkedin.com/jobs/view/3733708475,Product Analytics Lead,SurveyMonkey
"11/7/23, 7:40 AM",http://www.linkedin.com/jobs/view/3743160235,"Senior Product Manager, Customer Experience",Upwork
"4/9/26, 10:51 AM",http://www.linkedin.com/jobs/view/4376499623,"Product Manager, International Growth",Whatnot
"3/31/26, 1:28 PM",http://www.linkedin.com/jobs/view/4393236044,"Manager - Digital Product, US Acquisition Conversion Experience Optimization",American Express
"9/7/23, 3:36 PM",http://www.linkedin.com/jobs/view/3700618526,"Engineering Program Manager, Analytics Data Store",Apple
"4/13/26, 6:41 PM",http://www.linkedin.com/jobs/view/4401513644,"Product Manager, Wonder Create",Wonder
"1/30/26, 4:32 PM",http://www.linkedin.com/jobs/view/4336643908,"Associate Director, Product Management (Growth)",Little Spoon
"6/24/23, 10:36 AM",http://www.linkedin.com/jobs/view/3634204393,,
