Saved Date,Job Url,Job Title,Company Name
"6/13/21, 11:59 AM",http://www.linkedin.com/jobs/view/2534773957,Product Manager - Kids & Family Product Innovation,Netflix
"8/21/21, 7:17 PM",http://www.linkedin.com/jobs/view/2683722511,"Manager, Growth Analytics",Instacart
"5/25/21, 10:32 PM",http://www.linkedin.com/jobs/view/2502200128,"Marketing Analytics, Senior Manager",Gympass
"6/7/21, 9:40 AM",http://www.linkedin.com/jobs/view/2576468427,"Product Analytics - Lead, Data Science",Tiger Analytics
"6/16/21, 11:28 AM",http://www.linkedin.com/jobs/view/2596933248,Solutions Product Manager,McKinsey & Company
"6/2/21, 12:34 PM",http://www.linkedin.com/jobs/view/2568576322,"Product Marketing Manager, Google for Games",Google
"5/19/21, 7:11 AM",http://www.linkedin.com/jobs/view/2543864531,"Product Manager, Marketplaces",LinkedIn
"8/19/21, 6:10 AM",http://www.linkedin.com/jobs/view/2663558343,Product Manager - Payments Platform,Uber
"5/14/21, 2:29 AM",http://www.linkedin.com/jobs/view/2505033779,"Lead, Client Analytics",CHANEL
"8/11/21, 1:35 PM",http://www.linkedin.com/jobs/view/2613457060,"product manager, Customer & Retail Technology",Starbucks
"6/13/21, 11:59 AM",http://www.linkedin.com/jobs/view/2587097955,Business Solutions Product Manager,Apple
"6/16/21, 11:07 AM",http://www.linkedin.com/jobs/view/2479752999,"Senior Product Manager, Center for Marketing Transformation",ON24
"5/19/21, 7:12 AM",http://www.linkedin.com/jobs/view/2536776343,Analytics & Insights Lead,PayPal
"5/19/21, 7:13 AM",http://www.linkedin.com/jobs/view/2537809429,"Sr. Product Manager, Pricing and Strategy",Databricks
"8/19/21, 5:50 AM",http://www.linkedin.com/jobs/view/2683567180,Growth Product Manager,Study.com
"5/14/21, 2:30 AM",http://www.linkedin.com/jobs/view/2548341761,Director-Product Development,American Express
"8/11/21, 2:37 PM",http://www.linkedin.com/jobs/view/2676032983,"Product Manager, Memberships",Lyft
"5/14/21, 2:31 AM",http://www.linkedin.com/jobs/view/2522524436,Product Manager,Meta
"6/2/21, 9:23 PM",http://www.linkedin.com/jobs/view/2569340116,"Senior Manager, Inventory Strategy and Analytics",Carvana
"5/21/21, 11:47 AM",http://www.linkedin.com/jobs/view/2551907758,Product Manager - Content Platform,Spotify
"5/21/21, 10:50 AM",http://www.linkedin.com/jobs/view/2533591871,"Sr. Manager, Inside Sales Analytics",PayPal
"5/14/21, 2:31 AM",http://www.linkedin.com/jobs/view/2515355860,"Product Manager, Nest",Google
"5/14/21, 2:30 AM",http://www.linkedin.com/jobs/view/2542314379,"Data Scientist, Product Analytics",Meta
"8/20/21, 5:38 AM",http://www.linkedin.com/jobs/view/2689065742,Senior Product Manager - Uber Direct - Growth,Uber
"8/11/21, 11:02 PM",http://www.linkedin.com/jobs/view/2677219211,Commercial Strategy Manager,Bumble Inc.
"5/14/21, 2:31 AM",http://www.linkedin.com/jobs/view/2547462346,Apple Retail Online - Manager - Data & Analytics,Apple
"8/21/21, 9:09 AM",http://www.linkedin.com/jobs/view/2690680358,"Sr. Product Manager - Tech - Multiple Locations Dallas, Seattle, Boston, Arlington",Amazon Web Services (AWS)
"6/1/21, 7:02 PM",http://www.linkedin.com/jobs/view/2566979452,"Manager, Product Analytics",Community.com
"5/14/21, 2:28 AM",http://www.linkedin.com/jobs/view/2511461136,"Senior Product Manager, Platform",Capsule
"5/14/21, 2:30 AM",http://www.linkedin.com/jobs/view/2546090471,"Group Product Manager, RollWorks Data",NextRoll
"5/14/21, 2:32 AM",http://www.linkedin.com/jobs/view/2533594655,"Manager, Strategic Finance and Pricing",PayPal
"5/14/21, 2:32 AM",http://www.linkedin.com/jobs/view/2534713543,"Product Manager, Growth, Google Nest",Google
"5/14/21, 2:29 AM",http://www.linkedin.com/jobs/view/2512571990,"Associate Manager, Pricing Operations",LinkedIn
"8/7/21, 2:30 PM",http://www.linkedin.com/jobs/view/2665892675,Sr. Product Manager - Amazon Grocery,Amazon
"6/18/21, 12:00 PM",http://www.linkedin.com/jobs/view/2546128952,"Product Manager, Campaign Excellence Platform",Google
"5/24/21, 2:09 AM",http://www.linkedin.com/jobs/view/2527286544,"Product Manager, Play Growth",Google
"7/30/21, 6:27 AM",http://www.linkedin.com/jobs/view/2656362093,Manager/Sr. Manager - Analytics Consulting (NJ),Tiger Analytics
"8/19/21, 5:52 AM",http://www.linkedin.com/jobs/view/2683740616,"Product Manager, Scan",Snap Inc.
"6/16/21, 11:14 AM",http://www.linkedin.com/jobs/view/2488373685,Product Manager,Amazon
"5/31/21, 1:14 PM",http://www.linkedin.com/jobs/view/2565653847,Digital Analytics Manager,Accenture
"5/14/21, 2:31 AM",http://www.linkedin.com/jobs/view/2526091686,"Product Manager, Payments",DoorDash
"5/19/21, 7:33 AM",http://www.linkedin.com/jobs/view/2543823560,"Product Manager, Enablement Platform",Netflix
"5/14/21, 2:29 AM",http://www.linkedin.com/jobs/view/2534773248,Business Solutions Product Manager,Apple
"5/29/21, 10:38 AM",http://www.linkedin.com/jobs/view/2561347016,"Analytics Manager, Digital - Data, Machine Learning",Optello
"6/3/21, 10:28 AM",http://www.linkedin.com/jobs/view/2571295554,"REMOTE Senior Product Manager - Research, Market Insights, Data",Optello
"8/11/21, 1:36 PM",http://www.linkedin.com/jobs/view/2638880882,"senior product manager, Customer & Retail Technology",Starbucks
"5/14/21, 2:32 AM",http://www.linkedin.com/jobs/view/2514219089,"Manager I, Advanced Analytics - Home",Walmart
"6/16/21, 11:36 AM",http://www.linkedin.com/jobs/view/2591500565,Product Marketing Manager,TikTok
