Name,Url,Authority,Started On,Finished On,License Number
Marketing: Conversion Rate Optimization,https://www.linkedin.com/learning/certificates/e4853db128d9e70b285f5dbb7eea76225f877ffdcf36d5553ec40e15022620ca,LinkedIn,Nov 2023,,
Introduction to Artificial Intelligence,https://www.linkedin.com/learning/certificates/6483e0ca6f444d6c04f0bbc6805cbeb03af41c1346aeab62e0b2556505a574e2,LinkedIn,Nov 2023,,
Marketing Foundations: Consumer Behavior,https://www.linkedin.com/learning/certificates/240033f4d3d7b9848a13b2cf6a0dd8d620271ff10c3b1c8b63ae39ccdf4edfe2,LinkedIn,Feb 2024,,
